Date,N Hot Pixel,meanTI,maxTI,maxDist,maxDist Summit,N Hot Pixel Summit,N Cluster
05-May-2019 15:07:27,52,0.882625,1.6743,291.204395571221,291.204395571221,52,1
10-May-2019 15:07:31,62,1.38272258064516,2.1683,250.599281722833,250.599281722833,62,1
15-May-2019 15:07:27,13,0.537676923076923,0.6665,244.131112314674,244.131112314674,13,1
25-May-2019 15:07:26,45,1.71586444444444,2.315,260,260,45,1
30-May-2019 15:07:31,51,1.59547843137255,2.6756,260,260,51,1
04-Jun-2019 15:07:25,60,1.01771333333333,1.9096,278.567765543682,278.567765543682,60,1
09-Jun-2019 15:07:30,28,1.48699642857143,2.3151,263.058928759318,263.058928759318,28,2
14-Jun-2019 15:07:26,43,1.22604651162791,2.4118,272.029410174709,272.029410174709,43,2
19-Jun-2019 15:07:31,47,1.45408085106383,2.2812,272.029410174709,272.029410174709,47,1
24-Jun-2019 15:07:27,51,1.38298431372549,2.3269,272.029410174709,272.029410174709,51,1
29-Jun-2019 15:07:31,31,1.32508709677419,2.3016,272.029410174709,272.029410174709,31,2
04-Jul-2019 15:07:28,21,1.00004761904762,2.125,233.238075793812,233.238075793812,21,2
09-Jul-2019 15:07:32,31,1.36754193548387,2.5419,266.833281282527,266.833281282527,31,1
14-Jul-2019 15:07:28,44,1.53208409090909,2.5686,260,260,44,1
19-Jul-2019 15:07:32,31,1.88868064516129,2.6967,278.567765543682,278.567765543682,31,1
24-Jul-2019 15:07:28,35,0.8453,1.077,291.204395571221,291.204395571221,35,1
29-Jul-2019 15:07:31,52,1.34274038461538,2.0745,272.029410174709,272.029410174709,52,1
03-Aug-2019 15:07:27,48,0.8508875,1.636,272.029410174709,272.029410174709,48,3
08-Aug-2019 15:07:30,39,1.06635897435897,2.1059,247.38633753706,247.38633753706,39,2
13-Aug-2019 15:07:26,27,1.42001851851852,2.153,247.38633753706,247.38633753706,27,2
18-Aug-2019 15:07:29,34,1.10946176470588,1.9565,266.833281282527,266.833281282527,34,3
23-Aug-2019 15:07:25,0,NaN,NaN,NaN,NaN,0,0
28-Aug-2019 15:07:27,15,1.13686,1.4454,223.606797749979,223.606797749979,15,1
02-Sep-2019 15:07:23,57,1.19513333333333,2.1465,272.029410174709,272.029410174709,57,2
07-Sep-2019 15:07:25,59,0.783338983050847,1.7211,323.10988842807,323.10988842807,59,3
12-Sep-2019 15:07:21,8,0.805575,1.042,178.885438199983,178.885438199983,8,1
17-Sep-2019 15:07:22,49,1.11268775510204,1.8808,268.328157299975,268.328157299975,49,2
22-Sep-2019 15:07:23,0,NaN,NaN,NaN,NaN,0,0
27-Sep-2019 15:07:23,47,0.966214893617021,2.0933,278.567765543682,278.567765543682,47,2
02-Oct-2019 15:07:25,0,NaN,NaN,NaN,NaN,0,0
07-Oct-2019 15:07:24,68,1.03072647058824,1.7753,286.356421265527,286.356421265527,68,2
12-Oct-2019 15:07:26,49,1.28555102040816,2.1991,268.328157299975,268.328157299975,49,2
17-Oct-2019 15:07:24,0,NaN,NaN,NaN,NaN,0,0
22-Oct-2019 15:07:26,0,NaN,NaN,NaN,NaN,0,0
27-Oct-2019 15:07:24,73,0.945550684931507,2.0003,260.768096208106,260.768096208106,73,3
01-Nov-2019 15:07:26,0,NaN,NaN,NaN,NaN,0,0
06-Nov-2019 15:07:23,0,NaN,NaN,NaN,NaN,0,0
11-Nov-2019 15:07:25,0,NaN,NaN,NaN,NaN,0,0
16-Nov-2019 15:07:21,32,0.6939875,1.1688,295.296461204668,295.296461204668,32,3
21-Nov-2019 15:07:24,0,NaN,NaN,NaN,NaN,0,0
26-Nov-2019 15:07:19,25,0.883864,1.5657,316.227766016838,316.227766016838,25,2
06-Dec-2019 15:07:17,0,NaN,NaN,NaN,NaN,0,0
11-Dec-2019 15:07:19,15,0.996113333333333,1.3966,282.842712474619,282.842712474619,15,3
21-Dec-2019 15:07:17,9,0.976333333333333,1.1247,240.831891575846,240.831891575846,9,2
26-Dec-2019 15:07:21,0,NaN,NaN,NaN,NaN,0,0
31-Dec-2019 15:07:18,0,NaN,NaN,NaN,NaN,0,0
05-Jan-2020 15:07:18,0,NaN,NaN,NaN,NaN,0,0
10-Jan-2020 15:07:17,0,NaN,NaN,NaN,NaN,0,0
15-Jan-2020 15:07:17,0,NaN,NaN,NaN,NaN,0,0
20-Jan-2020 15:07:17,0,NaN,NaN,NaN,NaN,0,0
25-Jan-2020 15:07:16,0,NaN,NaN,NaN,NaN,0,0
30-Jan-2020 15:07:15,0,NaN,NaN,NaN,NaN,0,0
04-Feb-2020 15:07:16,0,NaN,NaN,NaN,NaN,0,0
09-Feb-2020 15:07:15,1,0.8606,0.8606,180,180,1,1
14-Feb-2020 15:07:18,0,NaN,NaN,NaN,NaN,0,0
19-Feb-2020 15:07:17,0,NaN,NaN,NaN,NaN,0,0
24-Feb-2020 15:07:20,0,NaN,NaN,NaN,NaN,0,0
29-Feb-2020 15:07:18,0,NaN,NaN,NaN,NaN,0,0
05-Mar-2020 15:07:21,21,0.794561904761905,1.425,297.32137494637,297.32137494637,21,4
10-Mar-2020 15:07:19,28,0.722317857142857,1.6697,305.941170815567,305.941170815567,28,2
15-Mar-2020 15:07:21,0,NaN,NaN,NaN,NaN,0,0
20-Mar-2020 15:07:19,0,NaN,NaN,NaN,NaN,0,0
25-Mar-2020 15:07:21,0,NaN,NaN,NaN,NaN,0,0
30-Mar-2020 15:07:19,0,NaN,NaN,NaN,NaN,0,0
04-Apr-2020 15:07:20,0,NaN,NaN,NaN,NaN,0,0
09-Apr-2020 15:07:21,11,0.655618181818182,0.9416,263.058928759318,263.058928759318,11,2
14-Apr-2020 15:07:19,26,0.836165384615385,1.4839,272.029410174709,272.029410174709,26,4
19-Apr-2020 15:07:23,0,NaN,NaN,NaN,NaN,0,0
24-Apr-2020 15:07:17,1,0.6767,0.6767,291.204395571221,291.204395571221,1,1
29-Apr-2020 15:07:26,0,NaN,NaN,NaN,NaN,0,0
04-May-2020 15:07:20,0,NaN,NaN,NaN,NaN,0,0
09-May-2020 15:07:27,0,NaN,NaN,NaN,NaN,0,0
14-May-2020 15:07:22,22,0.92095,1.3504,272.029410174709,272.029410174709,22,3
19-May-2020 15:07:28,38,1.91830263157895,2.768,266.833281282527,266.833281282527,38,1
24-May-2020 15:07:24,32,0.765825,1.0379,272.029410174709,272.029410174709,32,6
29-May-2020 15:07:29,15,0.923973333333333,1.3153,277.848879788996,277.848879788996,15,1
03-Jun-2020 15:07:25,12,0.8716,1.1059,277.848879788996,277.848879788996,12,2
08-Jun-2020 15:07:29,12,0.8536,1.3701,243.310501211929,243.310501211929,12,4
13-Jun-2020 15:07:25,38,0.848081578947368,1.8535,272.029410174709,272.029410174709,38,4
18-Jun-2020 15:07:29,32,1.459896875,2.5546,304.630924234556,304.630924234556,32,4
23-Jun-2020 15:07:25,20,0.93128,1.9162,260.768096208106,260.768096208106,20,3
28-Jun-2020 15:07:28,26,1.11997307692308,2.3726,215.40659228538,215.40659228538,26,4
03-Jul-2020 15:07:25,54,0.715524074074074,1.5224,272.029410174709,272.029410174709,54,4
08-Jul-2020 15:07:27,29,0.835141379310345,1.6769,278.567765543682,278.567765543682,29,6
13-Jul-2020 15:07:24,35,0.815411428571429,1.4347,278.567765543682,278.567765543682,35,4
18-Jul-2020 15:07:28,17,0.627170588235294,0.8388,260,260,17,4
23-Jul-2020 15:07:25,26,1.21918461538462,2.0725,260,260,26,3
28-Jul-2020 15:07:29,18,0.4363,0.7027,188.679622641132,188.679622641132,18,2
02-Aug-2020 15:07:26,26,0.646469230769231,0.9463,278.567765543682,278.567765543682,26,6
07-Aug-2020 15:07:29,59,0.576557627118644,0.8456,278.567765543682,278.567765543682,59,2
12-Aug-2020 15:07:26,19,0.608573684210526,0.786,260.768096208106,260.768096208106,19,6
17-Aug-2020 15:07:29,0,NaN,NaN,NaN,NaN,0,0
22-Aug-2020 15:07:26,30,0.63869,1.0766,268.328157299975,268.328157299975,30,3
27-Aug-2020 15:07:28,59,1.02184745762712,1.9978,286.356421265527,286.356421265527,59,1
01-Sep-2020 15:07:26,55,1.10805636363636,1.8816,291.204395571221,291.204395571221,55,2
06-Sep-2020 15:07:27,27,1.26798888888889,1.9056,280.713376952364,280.713376952364,27,1
11-Sep-2020 15:07:25,0,NaN,NaN,NaN,NaN,0,0
16-Sep-2020 15:07:27,21,1.15899523809524,1.8252,286.356421265527,286.356421265527,21,3
21-Sep-2020 15:07:25,23,1.33256956521739,1.8339,260.768096208106,260.768096208106,23,2
26-Sep-2020 15:07:28,42,0.758295238095238,1.3865,266.833281282527,266.833281282527,42,5
01-Oct-2020 15:07:26,11,1.31611818181818,1.4985,260.768096208106,260.768096208106,11,1
06-Oct-2020 15:07:29,39,0.980879487179487,1.8761,300.665927567458,300.665927567458,39,2
11-Oct-2020 15:07:27,47,1.2690170212766,1.6677,286.356421265527,286.356421265527,47,4
16-Oct-2020 15:07:29,9,0.552988888888889,0.8444,244.131112314674,244.131112314674,9,2
21-Oct-2020 15:07:26,0,NaN,NaN,NaN,NaN,0,0
26-Oct-2020 15:07:28,10,1.04142,1.323,181.107702762748,181.107702762748,10,1
31-Oct-2020 15:07:26,0,NaN,NaN,NaN,NaN,0,0
05-Nov-2020 15:07:28,42,0.701692857142857,1.2256,300.665927567458,300.665927567458,42,5
10-Nov-2020 15:07:24,35,0.801331428571429,1.5453,282.842712474619,282.842712474619,35,4
15-Nov-2020 15:07:26,52,0.904601923076923,1.8562,302.654919008431,302.654919008431,52,5
25-Nov-2020 15:07:24,64,1.04075,1.6223,325.576411921994,325.576411921994,64,5
05-Dec-2020 15:07:21,0,NaN,NaN,NaN,NaN,0,0
15-Dec-2020 15:07:20,37,0.777356756756756,1.2443,280,280,37,5
20-Dec-2020 15:07:19,0,NaN,NaN,NaN,NaN,0,0
25-Dec-2020 15:07:22,0,NaN,NaN,NaN,NaN,0,0
